"","fips","SCC","Pollutant","Emissions","type","year"
"205","01037","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"206","01039","10100201","PM25-PRI",16.227,"POINT",1999
"207","01039","2102002000","PM25-PRI",0.307,"NONPOINT",1999
"208","01039","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"209","01039","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"210","01041","2102002000","PM25-PRI",0.024,"NONPOINT",1999
"211","01041","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"212","01041","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"213","01043","10200204","PM25-PRI",2.524,"POINT",1999
"214","01043","2102002000","PM25-PRI",0.274,"NONPOINT",1999
"215","01043","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"216","01043","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"217","01045","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"218","01045","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"219","01045","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"220","01047","2102002000","PM25-PRI",0.79,"NONPOINT",1999
"221","01047","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"222","01047","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"223","01049","2102002000","PM25-PRI",0.175,"NONPOINT",1999
"224","01049","2103001000","PM25-PRI",0.119,"NONPOINT",1999
"225","01049","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"226","01051","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"227","01051","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"228","01051","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"229","01053","2102002000","PM25-PRI",0.111,"NONPOINT",1999
"230","01053","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"231","01053","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"232","01055","10100201","PM25-PRI",234.017,"POINT",1999
"233","01055","10100202","PM25-PRI",226.091,"POINT",1999
"234","01055","2102002000","PM25-PRI",0.34,"NONPOINT",1999
"235","01055","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"236","01055","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"237","01057","2102002000","PM25-PRI",0.164,"NONPOINT",1999
"238","01057","2103001000","PM25-PRI",0.033,"NONPOINT",1999
"239","01057","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"240","01059","2102002000","PM25-PRI",0.142,"NONPOINT",1999
"241","01059","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"242","01059","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"243","01061","2102002000","PM25-PRI",0.044,"NONPOINT",1999
"244","01061","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"245","01061","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"246","01063","10100201","PM25-PRI",3086.535,"POINT",1999
"247","01063","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"248","01063","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"249","01063","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"250","01065","2102002000","PM25-PRI",0.044,"NONPOINT",1999
"251","01065","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"252","01065","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"253","01067","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"254","01067","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"255","01067","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"256","01069","2102002000","PM25-PRI",0.449,"NONPOINT",1999
"257","01069","2103001000","PM25-PRI",0.083,"NONPOINT",1999
"258","01069","2103002000","PM25-PRI",0.04,"NONPOINT",1999
"259","01071","10100201","PM25-PRI",21.827,"POINT",1999
"260","01071","10100202","PM25-PRI",2102.696,"POINT",1999
"261","01071","2102002000","PM25-PRI",0.197,"NONPOINT",1999
"262","01071","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"263","01071","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"264","01073","10100202","PM25-PRI",1915.417,"POINT",1999
"265","01073","10100226","PM25-PRI",6.532,"POINT",1999
"266","01073","10200204","PM25-PRI",0.756,"POINT",1999
"267","01073","10300206","PM25-PRI",0.024,"POINT",1999
"268","01073","10300209","PM25-PRI",0.66,"POINT",1999
"269","01073","2102002000","PM25-PRI",113.726,"NONPOINT",1999
"270","01075","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"271","01075","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"272","01075","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"273","01077","2102002000","PM25-PRI",0.307,"NONPOINT",1999
"274","01077","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"275","01077","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"276","01079","2102002000","PM25-PRI",0.024,"NONPOINT",1999
"277","01079","2103001000","PM25-PRI",0.033,"NONPOINT",1999
"278","01079","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"279","01081","10200202","PM25-PRI",0.11,"POINT",1999
"280","01081","10300208","PM25-PRI",0.08,"POINT",1999
"281","01081","2102002000","PM25-PRI",0.438,"NONPOINT",1999
"282","01081","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"283","01081","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"284","01083","10100202","PM25-PRI",0.566,"POINT",1999
"285","01083","10200204","PM25-PRI",2.261,"POINT",1999
"286","01083","10200225","PM25-PRI",8.42,"POINT",1999
"287","01083","2102002000","PM25-PRI",0.209,"NONPOINT",1999
"288","01083","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"289","01083","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"290","01085","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"291","01085","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"292","01085","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"293","01087","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"294","01087","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"295","01087","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"296","01089","2102002000","PM25-PRI",1.481,"NONPOINT",1999
"297","01089","2103001000","PM25-PRI",0.186,"NONPOINT",1999
"298","01089","2103002000","PM25-PRI",0.09,"NONPOINT",1999
"299","01091","10200204","PM25-PRI",1.767,"POINT",1999
"300","01091","2102002000","PM25-PRI",0.856,"NONPOINT",1999
